ID,TEMA,LOCAL,TEMPO,CATEGORIA,STATUS,DESCRICAO,URL,ANO,MES,DIA,DIA_DO_ANO,SEMANA_DO_ANO,DIA_DA_SEMANA,TRIMETRES,CASOS
 147740097,Entrega e contato ,São Paulo - SP,2022-01-08,Pão de Açúcar<->Supermercados<->Problema com entrega de produto-compras,Respondida,Todas as vezes que peço online a entrega chega  horário que não foi o agendado. Assim como os entregadores são muito ruins em entender o problema do cliente ,https://www.reclameaqui.com.br//pao-de-acucar/entrega-e-contato_jag6tQm0rCiEQj9L/,2022,1,8,8,1,5,1,24
 147741783,Em menos de 1 ano tem um buraco no sofá,Rio de Janeiro - RJ,2022-01-08,Má qualidade do produto<->Sofás e Estofados<->Pão de Açúcar,Em réplica,"Comprei um sofá que chegou em Outubro/2021 e em seguida eu sai de férias, ou seja, o sofá começou a ser usado em Novembro/2022. Há cerca de 2 meses percebi um buraco onde eu sento e eu não tenho nem 70kg, ou seja, nada a justifica a não ser a má qualidade do produto.Entrei em contato com a Mobly sob o  #2208011952892 que só me respondeu que eu tenho que entrar em contato com o Pão de Açucar pois foi comprado através deles. Mandei um email e não tive resposta. O descaso da Mobly é enorme e eu, como consumidora, me sinto totalmente deixada de lado. Gastei R$ 1.810,00 em um sofá para durar menos de 1 ano de uso?? Totalmente desapontada com a Mobly!",https://www.reclameaqui.com.br//pao-de-acucar/em-menos-de-1-ano-tem-um-buraco-no-sofa_-oTk15NErF0i4aX-/,2022,1,8,8,1,5,1,24
 147706535,Não consigo excluir minha conta do site,Itatinga - SP,2022-01-08,Pão de Açúcar<->Canais de Atendimento<->Problemas com o Atendimento<->Mau Atendimento,Resolvido,"Eu criei a conta para tentar aproveitar uma promoção, mas percebi que não valeria a pena pra mim e resolvi excluir a conta, mas não há um botão acessível para exclusão da conta e os canais de atendimento não são tão eficientes, pedem diversos dados para entrar em contato via e-mail e o chat fica no status ""digitando.."".De acordo com a LGPD, essa opção é obrigatória.",https://www.reclameaqui.com.br//pao-de-acucar/nao-consigo-excluir-minha-conta-do-site_AceGuQ9or7Tj63-Z/,2022,1,8,8,1,5,1,24
 147249921,Stix migrou minha reclamação deles para o Pão de Açucar,São Paulo - SP,2022-01-08,Pão de Açúcar<->Mau Atendimento,Respondida,"A Stix demorou 30 dias para passar minha reclamação para o Pão de Açucar. Reclamei do tempo e eles migraram a reclamação do tempo de espera também para o Pão de Açucar. Quem demorou 30 dias para me responder foi a Stix, não o Pão de Açucar. Agora querem passar para outro o problema dizendo que é a mesma coisa. Não é a toa que o índice de resposta de Stix está alto. Vocês jogam tudo no colo dos outros.Após tudo que está acontecendo, eu JAMAIS passaria pontos de qualquer outro programa para aStix, já que eles não em atendimento, apenas repassamo problema.",https://www.reclameaqui.com.br//pao-de-acucar/stix-migrou-minha-reclamacao-deles-para-o-pao-de-acucar_bSHylN2VMSgdT7gf/,2022,1,8,8,1,5,1,24
 147745647,Propaganda enganosa ,São Paulo - SP,2022-01-08,Propagada enganosa<->Pão de Açúcar<->Preservativo<->Higiene e Limpeza Pessoal,Em réplica,"Estive comprando um barra de chocolate no Pão de Açúcar da vila Mariana- São Paulo onde o preço da barra de chocolate estava 5,29 ( chocolate talento) na promoção Ao chegar em casa me deparo que foi cobrado bem mais Onde a mesma na nota fiscal consta 7,89.  ",https://www.reclameaqui.com.br//pao-de-acucar/propaganda-enganosa_oIC4f0tgPI02eWQB/,2022,1,8,8,1,5,1,24
 147760887,PRODUTO RANÇOSO,São Paulo - SP,2022-01-08,Pão de Açúcar<->Supermercados<->Produtos estragados,Respondida,"Bandeja de frios, especificamente presunto magro que fica na área da padaria é vendido rançoso, estragado. Infelizmente não há uma conferência pelos funcionários e isso é estremamente perigoso, causar uma intoxicação alimentar ou coisas piores. O tipo de alimento o qual me refiro são frios já fatiados pelo mercado e incluído em bandejas de isopor e cobertos por plástico filme com o preço.Ao chegar em casa me deparei com 3 bandejas que precisarem ir pro lixo, a bandeja que estava a vista, a de cima foi a única o qual eu conferi, peguei o presunto que aparentava ""fresco"" e nem 15 minutos depois chegando em casa aí ser desembalando estava já acinzentado e amarronzado, cheiro ruim. Levei um susto porque não é o padrão Pão de açúcar o qual estou acostumada.Estava dentro da validade que seria dia 03/08/2022 mas acredito que esse produto deve ser abastecido diariamente ou os funcionários estarem prontamente dispostos a realizar tal tarefa. Vejo através dessa porque fiquei chateada de ser vendido alimentos com um tratamento sem conferência, mal cuidado que não é nada barato. Experiência ruim.Vou incluir fotos do presunto esbranquiçado e rançoso e dentro da validade. Pode ocorrer de não reabastecer, melhor não ter o produto exposto do que clientes gastarem dinheiro que será jogado no lixo? Não há alguém para conferir esse tipo de coisa ? Minuto Pão de açúcar shopping Golden Square - São Bernardo do Campo.",https://www.reclameaqui.com.br//pao-de-acucar/produto-rancoso_ITZBLSLXJ7KFOQBr/,2022,1,8,8,1,5,1,24
 147760401,Fiz um pedido e ficaram faltando 2 itens!,São Paulo - SP,2022-01-08,Pão de Açúcar<->Supermercados<->Entrega faltando itens,Resolvido,"Olá, fiz um pedido no site do pão de açúcar, na loja Proença - Campinas. Número do pedido: 25705631. 2 itens não vieram, mas fui cobrada por eles. Como proceder?",https://www.reclameaqui.com.br//pao-de-acucar/fiz-um-pedido-e-ficaram-faltando-2-itens_jXzFrvNWk_UlgnF5/,2022,1,8,8,1,5,1,24
 147757817,Quero excluir a minha conta e o app não me dá essa opção,Campinas - SP,2022-01-08,Pão de Açúcar<->Não encontrei meu problema<->Hipermercados,Respondida,"Quero excluir a minha conta no aplicativo do mercado Pão de Açúcar e ele não oferece essa opção em nenhum lugar, o que é um absurdo numa era em que precisamos cuidar tanto dos nossos dados. É meu direito excluir a minha conta. Aguardo contato. ",https://www.reclameaqui.com.br//pao-de-acucar/quero-excluir-a-minha-conta-e-o-app-nao-me-da-essa-opcao_nJYMCdANtF7_Tey5/,2022,1,8,8,1,5,1,24
 147758893,Usaram meus pontos STIX!! ,Belém - PA,2022-01-08,Pão de Açúcar<->Não encontrei meu problema<->Pagamentos e Documentos,Resolvido,"Em 27/07/2022 durante o período em que estava trabalhando a muitos quilômetros pois moro em outra cidade (e na minha cidade não tem Pão de Açúcar) , praticamente limparam quase todos meus pontos Stix, 1 resgate de 6.205 pontos na loja Extra -1397 rua Moacir Simoes , 1 resgate de 9.801 na loja Pão de Açúcar-2409 da Av Washington Luis Exijo imediata restituição de toda essa pontuação. É um absurdo! Eu não moro ou viajei para a cidade onde os pontos foram usados. ",https://www.reclameaqui.com.br//pao-de-acucar/usaram-meus-pontos-stix_hgyrH2qyoPjAJ0yn/,2022,1,8,8,1,5,1,24
 147751903,Valor divergente,Brasília - DF,2022-01-08,Problemas com o Site<->Pão de Açúcar<->Divergência de valores<->Pagamentos e Documentos,Respondida,"Comprei monster a 4,19 e foi debitado valor bem superior.Detalhes do pedido 9458891Entrega 1Entrega 1 - Supermercado n. 28945983Vendido e entregue por: Pão de Açúcar",https://www.reclameaqui.com.br//pao-de-acucar/valor-divergente_CAXeaEI-MSCvxKUe/,2022,1,8,8,1,5,1,24
