TEMA,LOCAL,ESTADO,CATEGORIA,STATUS,DESCRICAO,CASOS_POR_DIA,DATA,ANO,MES,ANO_MES
ENTREGA E CONTATO,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",RESPONDIDA,Todas as vezes que peço online a entrega chega  horário que não foi o agendado. Assim como os entregadores são muito ruins em entender o problema do cliente ,24,2022-01-08,2022,1,2022-01
EM MENOS DE 1 ANO TEM UM BURACO NO SOFÁ,RIO DE JANEIRO - RJ,RJ,"['MÁ QUALIDADE DO PRODUTO', 'SOFÁS E ESTOFADOS', 'PÃO DE AÇÚCAR']",EM RÉPLICA,"Comprei um sofá que chegou em Outubro/2021 e em seguida eu sai de férias, ou seja, o sofá começou a ser usado em Novembro/2022. Há cerca de 2 meses percebi um buraco onde eu sento e eu não tenho nem 70kg, ou seja, nada a justifica a não ser a má qualidade do produto.Entrei em contato com a Mobly sob o  #2208011952892 que só me respondeu que eu tenho que entrar em contato com o Pão de Açucar pois foi comprado através deles. Mandei um email e não tive resposta. O descaso da Mobly é enorme e eu, como consumidora, me sinto totalmente deixada de lado. Gastei R$ 1.810,00 em um sofá para durar menos de 1 ano de uso?? Totalmente desapontada com a Mobly!",24,2022-01-08,2022,1,2022-01
NÃO CONSIGO EXCLUIR MINHA CONTA DO SITE,ITATINGA - SP,SP,"['PÃO DE AÇÚCAR', 'CANAIS DE ATENDIMENTO', 'PROBLEMAS COM O ATENDIMENTO', 'MAU ATENDIMENTO']",RESOLVIDO,"Eu criei a conta para tentar aproveitar uma promoção, mas percebi que não valeria a pena pra mim e resolvi excluir a conta, mas não há um botão acessível para exclusão da conta e os canais de atendimento não são tão eficientes, pedem diversos dados para entrar em contato via e-mail e o chat fica no status ""digitando.."".De acordo com a LGPD, essa opção é obrigatória.",24,2022-01-08,2022,1,2022-01
STIX MIGROU MINHA RECLAMAÇÃO DELES PARA O PÃO DE AÇUCAR,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'MAU ATENDIMENTO']",RESPONDIDA,"A Stix demorou 30 dias para passar minha reclamação para o Pão de Açucar. Reclamei do tempo e eles migraram a reclamação do tempo de espera também para o Pão de Açucar. Quem demorou 30 dias para me responder foi a Stix, não o Pão de Açucar. Agora querem passar para outro o problema dizendo que é a mesma coisa. Não é a toa que o índice de resposta de Stix está alto. Vocês jogam tudo no colo dos outros.Após tudo que está acontecendo, eu JAMAIS passaria pontos de qualquer outro programa para aStix, já que eles não em atendimento, apenas repassamo problema.",24,2022-01-08,2022,1,2022-01
PROPAGANDA ENGANOSA,SÃO PAULO - SP,SP,"['PROPAGADA ENGANOSA', 'PÃO DE AÇÚCAR', 'PRESERVATIVO', 'HIGIENE E LIMPEZA PESSOAL']",EM RÉPLICA,"Estive comprando um barra de chocolate no Pão de Açúcar da vila Mariana- São Paulo onde o preço da barra de chocolate estava 5,29 ( chocolate talento) na promoção Ao chegar em casa me deparo que foi cobrado bem mais Onde a mesma na nota fiscal consta 7,89.  ",24,2022-01-08,2022,1,2022-01
PRODUTO RANÇOSO,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PRODUTOS ESTRAGADOS']",RESPONDIDA,"Bandeja de frios, especificamente presunto magro que fica na área da padaria é vendido rançoso, estragado. Infelizmente não há uma conferência pelos funcionários e isso é estremamente perigoso, causar uma intoxicação alimentar ou coisas piores. O tipo de alimento o qual me refiro são frios já fatiados pelo mercado e incluído em bandejas de isopor e cobertos por plástico filme com o preço.Ao chegar em casa me deparei com 3 bandejas que precisarem ir pro lixo, a bandeja que estava a vista, a de cima foi a única o qual eu conferi, peguei o presunto que aparentava ""fresco"" e nem 15 minutos depois chegando em casa aí ser desembalando estava já acinzentado e amarronzado, cheiro ruim. Levei um susto porque não é o padrão Pão de açúcar o qual estou acostumada.Estava dentro da validade que seria dia 03/08/2022 mas acredito que esse produto deve ser abastecido diariamente ou os funcionários estarem prontamente dispostos a realizar tal tarefa. Vejo através dessa porque fiquei chateada de ser vendido alimentos com um tratamento sem conferência, mal cuidado que não é nada barato. Experiência ruim.Vou incluir fotos do presunto esbranquiçado e rançoso e dentro da validade. Pode ocorrer de não reabastecer, melhor não ter o produto exposto do que clientes gastarem dinheiro que será jogado no lixo? Não há alguém para conferir esse tipo de coisa ? Minuto Pão de açúcar shopping Golden Square - São Bernardo do Campo.",24,2022-01-08,2022,1,2022-01
FIZ UM PEDIDO E FICARAM FALTANDO 2 ITENS!,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'ENTREGA FALTANDO ITENS']",RESOLVIDO,"Olá, fiz um pedido no site do pão de açúcar, na loja Proença - Campinas. Número do pedido: 25705631. 2 itens não vieram, mas fui cobrada por eles. Como proceder?",24,2022-01-08,2022,1,2022-01
QUERO EXCLUIR A MINHA CONTA E O APP NÃO ME DÁ ESSA OPÇÃO,CAMPINAS - SP,SP,"['PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'HIPERMERCADOS']",RESPONDIDA,"Quero excluir a minha conta no aplicativo do mercado Pão de Açúcar e ele não oferece essa opção em nenhum lugar, o que é um absurdo numa era em que precisamos cuidar tanto dos nossos dados. É meu direito excluir a minha conta. Aguardo contato. ",24,2022-01-08,2022,1,2022-01
USARAM MEUS PONTOS STIX!!,BELÉM - PA,PA,"['PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'PAGAMENTOS E DOCUMENTOS']",RESOLVIDO,"Em 27/07/2022 durante o período em que estava trabalhando a muitos quilômetros pois moro em outra cidade (e na minha cidade não tem Pão de Açúcar) , praticamente limparam quase todos meus pontos Stix, 1 resgate de 6.205 pontos na loja Extra -1397 rua Moacir Simoes , 1 resgate de 9.801 na loja Pão de Açúcar-2409 da Av Washington Luis Exijo imediata restituição de toda essa pontuação. É um absurdo! Eu não moro ou viajei para a cidade onde os pontos foram usados. ",24,2022-01-08,2022,1,2022-01
VALOR DIVERGENTE,BRASÍLIA - DF,DF,"['PROBLEMAS COM O SITE', 'PÃO DE AÇÚCAR', 'DIVERGÊNCIA DE VALORES', 'PAGAMENTOS E DOCUMENTOS']",RESPONDIDA,"Comprei monster a 4,19 e foi debitado valor bem superior.Detalhes do pedido 9458891Entrega 1Entrega 1 - Supermercado n. 28945983Vendido e entregue por: Pão de Açúcar",24,2022-01-08,2022,1,2022-01
MANDARAM PRODUTO MAIS BARATO!!,BARUERI - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'FRUTAS', 'PRODUTO ERRADO']",EM RÉPLICA,"Comprei on-line ontem (31/07) para retirar na Clodomiro Amazonas no dia 01/08.Havia comprado 1,2kg de avocado para uma receita específica. Retirei as compras lacradas e levei normalmente para casa, aí quando abri, vi que mandaram o abacate comum que é mais barato!Quero o produto correto! É um absurdo com o consumidor e PROPAGANDA ENGANOSA![Editado pelo Reclame Aqui]AM TOTALMENTE OS DIREITOS, até porque, eu comprei outra mercadoria!Quero ressarcimento ou o meu produto conforme pedi!",24,2022-01-08,2022,1,2022-01
[EDITADO PELO RECLAME AQUI] DE STIX,BARUERI - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMAS COM O ATENDIMENTO', 'ROUBO-FURTO']",RESPONDIDA,"No dia 20 de Junho [Editado pelo Reclame Aqui]am   40.000 pontos em duas retiradas de 20.000 dos meus pontos do programa de relacionamento do Pão de Açúcar. No dia seguinte, ao abrir o app me dei conta do roube e imediatamente liguei para o PA.  Eles me disseram q iam analisar as cameras pois o local das lojas resgatados foram em lojas nao frequentadas por mim. O prazo de resposta eram 5 dias uteis. Já liguei mais 2 vezes e até agora não me posicionaram. Esse resgate no caixa tem uma grave falha de segurança e segundo os caixas do PA eles já atenderam diversos clientes com o mesmo problema. Quero meus pontos de volta e uma solução urgente. ",24,2022-01-08,2022,1,2022-01
STIX SUMIRAM !!!!,BARUERI - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO', 'PONTOS']",RESOLVIDO,"eu tinha 27.000  STIX e quando fui trocar pelos vinhos que sempre troco , meus STIX baixaram para 1.980 STIX, sempre junto de 30 a  40 mil e troco por vinhos  entrei para começar as trocas e vi que o saldo havia caído para 1.980 STIX , e liguei no 08007732624 e falei com Wesley através do protocolo 3283256 as 15:07h do dia 09/07/2022 e recebi um e-mail no dia 11/07/22 me informando que o processo de averiguação estava sendo feito , e já liguei mais duas vezes sob protocolos 3307587 16/07/22 falei com Andréia e protocolo 3322595 falei com Wesley novamente , e esse me informou que ainda não tem resposta e que o departamento responsável está resolvendo o problema!! Li aqui no reclame aqui que essa situação está ocorrendo com inúmeras pessoas, e fui descontado de meus valores no dia 07/07/2022 no pão de açúcar  loja nr 2336 Av Eng. Armando Arruda Pereira, 2022 no Jabaquara , eu sou morador de Alphaville Barueri e nunca vou para este local o qual desconheço  e fui subtraído em 20 mil STIX  e mais 6 mil que não aparece nas trocas!! Entendi que foi efetuada troca de meus STIX por desconto em reais na compra , o que não faço nunca , e sobraram 1.980 STIX no dia, e hoje estou com um total de 11.678 , pois ganhei mais 9500 dia 20/07/22 mais o que sobrou de minha subtração !! estou exposto , alguém tem meus dados o meu cpf , minha data de nascimento e isso não pode acontecer , e já efetuei um BO junto a Policia Civil, eu quero numa explicação e quero ver as filmagens dessa pessoa que me subtraiu , e ainda estou correndo o risco de novamente essa pessoa pegar os meus outros 11.678 , hoje eu estaria com praticamente 40 mil STIX, e ai como vai ficar isso? se não resolverem vou abrir um processo por danos morais e materiais junto ao juizado especial .obrigado e fico no aguardo de uma solução..",24,2022-01-08,2022,1,2022-01
FALTA RESPEITO COM O CONSUMIDOR,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'PROBLEMAS COM O ATENDIMENTO', 'MAU ATENDIMENTO', 'EQUIPE DE ATENDIMENTO']",RESPONDIDA,"Em maio de 2022 fiz um pedido via APP PÃO DE AÇÚCAR , no momento de finalizar o pedido um itens estava em falta. Recebi uma mensagem para excluir itens faltantes e finalizar o pedido. Só que, o item não exclui. Desde então tenho falado no atendimento ao consumidor. Em todas as chamadas a mesma conversa, a área de TI, vai retornar em 5 dias ( mas nunca retornam nem resolvem o problema).Abri vários chamados , não obtive nenhum retorno , nem a solução do problema. Fico impossibilitada de realizar pedido . Já estamos  no mês de agosto, e meu problema com o app não é resolvido,é vergonhoso o serviço de atendimento ao cliente do Pão de Açúcar.",24,2022-01-08,2022,1,2022-01
PRODUTO RESGATADO NUNCA CHEGA NA LOJA,SALVADOR - BA,BA,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PROPAGANDA ENGANOSA', 'PONTOS']",RESPONDIDA,"Em julho resgatei meu pontos para retirar a frigideira Wok Jamie Oliver.  No período em que resgatei não constava o produto como ""últimas unidades"". Desde então visito as unidades do Pão de Açúcar da minha cidade e recebo a informação de que o produto está para chegar. Hoje expira meu regaste e até o momento o produto não chegou. Na loja a funcionária informa que tem uns 20 clientes na mesma situação. Isso é um desrespeito com o cliente. Juntei os pontos apenas para resgatar esse produto. ",20,2022-01-09,2022,1,2022-01
