TEMA,LOCAL,ESTADO,CATEGORIA,STATUS,DESCRICAO,CASOS_POR_DIA,DATA,ANO,MES,ANO_MES
PRODUTO ERRADO EM COMPRA ONLINE,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PRODUTO ERRADO']",RESPONDIDA,"Em uma compra online (pedido 13534144) realizei a seleção de 3 produtos, entretanto o que me foi entregue não condiz com a selecionado no site e também da nota fiscal.Em contato com a central (protocolo 3493785) fui informado pelo atendendo Bruno que não poderia fazer nada já que o produto foi retirado em loja e que eu devia entrar em contato direto com loja, durante a ligação informei que a compra foi online e a mesma deveria ser resolvida online, assim solicito que a troca seja feita em minha residência.Realizo a compra online justamente para poder otimizar o tempo e agora ocorreu o contrario, sendo que uma certeza que ao ir até o ponto de venda terei que preencher uma ficha enorme e demandar tempo para tal.",16,2022-02-09,2022,2,2022-02
ENTREGA NÃO REALIZADA,SÃO PAULO - SP,SP,"['ATRASO NA ENTREGA', 'SUPERMERCADOS', 'PÃO DE AÇÚCAR']",RESPONDIDA,"Realizei uma compra no app do pão de açúcar mais, e o mesmo não foi realizado a entrega, entrei em contato e o atendente informou que o pedido não foi aprovado, sendo que o mesmo encontra-se aprovado e estava a caminho hoje pela manhã e o valor foi debitado da conta.Eu só quero o cancelamento e o reembolso do valor .Caso não seja resolvido vou ter que levar para pequenas causas pois isso é uma total falta de respeito com o consumidor ",16,2022-02-09,2022,2,2022-02
[EDITADO PELO RECLAME AQUI] PONTOS STIX,BRASÍLIA - DF,DF,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'ROUBO-FURTO']",RESPONDIDA,Bom dia. No início do mês de agosto tive furtado de minha conta quase 17 mil pontos stix. Liguei no 0800 abri uma reclamação (manifestação registrada no protocolo 3349574) e 20 dias depois me reembolsaram os pontos. Mudei senha dentro do aplicativo do Pão de Açúcar e ontem dia 1 de setembro novamente tive quase 20 mil pontos stix furtados NOVAMENTE.Da primeira vez retiraram no caixa de um supermercado em outro estado (Santa Catarina) e adquirindo produtos que nunca comprei (whisky). Dessa vez emitiram sequencialmente vouchers do ifood.Gostaria de uma solução da empresa sobre essa falha na segurança e que os mesmos pontos fossem reembolsados.Aguardo contato.,16,2022-02-09,2022,2,2022-02
ENTREGA INCORRETA,SÃO PAULO - SP,SP,"['INFORMAÇÕES DE USO INCORRETAS', 'WAXY MAIZE', 'PÃO DE AÇÚCAR', 'SUPLEMENTOS ALIMENTARES']",NÃO RESPONDIDA,"Caros, Bom dia. Tenho certeza que quando comprei os 03 vilhos 3 medalhas no valor de 23,99 eram todos de 750 ml. Quando peguei na portaria vi que foram entregues de 375 ml. Acabei de verificar o pedido 13528684 no site e consta 375 ml, mas pelo preço, eu famais teria comprado o pequeno. Eu tenho certeza que olhei a descrição e a foto antes de comprar. Acabei de registrar um fale conosco 3489717Fico no aguardo. ",16,2022-02-09,2022,2,2022-02
ACIDENTE NO PÃO DE AÇÚCAR TAMBORÉ,SANTANA DE PARNAÍBA - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMAS COM O ATENDIMENTO', 'ACIDENTE NO ESTACIONAMENTO']",EM RÉPLICA,"Estive no Pão de Açúcar Tamboré no dia 01/07/2022 onde fui encontrar duas amigas para tomar um café e bateram no meu carro enquanto estava no estacionamento.Cheguei por volta de 16:35h, pois o supermercado fica a 2 km da minha residência, encontrei minhas amigas, depois fiz compras no supermercado (conforme nota fiscal informada aos ""especialistas"" do Grupo Pão de Açúcar que, embora tenham recebido todos os documentos comprobatórios da colisão, inclusive filmagem do meu carro em perfeito estado quando saí de casa e o estado do meu carro quando retornei, insistem em desrespeitar o consumidor, sem respostas, sem análise, sem qualquer atitude que demonstre se tratar de uma empresa idônea que respeita o cliente!Liguei no dia 03/07/2022 às 12:30h, falei com Alice (protocolo 3257336) a quem passei todas as informações e me prontifiquei a aguardar as câmeras do estacionamento que comprovariam todas as minhas informações.A partir desse dia, iniciou-se o meu calvário! Fiz inúmeros contatos, inúmeros protocolos (3317508, 3329702), mas sempre a mesma informação ""estamos analisando - entraremos em contato"", mas nada, nem um pouco de atenção, de respeito a uma cliente assídua há 40 anos!!!  Todos os documentos foram fornecidos, inclusive presencialmente com Sra. Ingrid a quem também informei que havia o risco de cair o para-choque na rua e ocasionar um acidente maior, mas também nenhum interesse com o risco a que estou exposta desde o dia 01/07. Falei também com a gerente Amanda e nenhuma atitude!Cansei, já percebi que o Grupo Pão de Açúcar não respeita o consumidor, então vou procurar os canais necessários para exigir que a justiça seja feita!",21,2022-03-08,2022,3,2022-03
MAIS UMA VEZ PONTOS USADOS POR OUTRA PESSOA NO CAIXA,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO', 'PONTOS']",RESPONDIDA,"Prezados, segue mais uma reclamação em menos de um mês de pontos MEUS usados presencialmente por outra pessoa no pão de açuçar.Total de pontos utlizados 11.800 - Dois usos cada uma de 5.900.Utilizado: 1770, R. Pe Antonio José Dos Santos, 872, Cidade MonçõesA minha última utlização do STIX foi uma troca no valor de 120 reais de vale compras. Peço o retorno destes pontos com urgência. Isso continua acontecendo pelo fato do processo de confirmação de pontos de vocês ser falho. Quem [Editado pelo Reclame Aqui] meu CPF também [Editado pelo Reclame Aqui] todos meus dados e ter a DATA DE NASCIMENTO como confirmação é péssimo. Nao mando meus pontos Iupi para o Stix nunca mais pois sempre vou ter essa dor de cabeça de abrir reclamção, aguardar e aguardar.",21,2022-03-08,2022,3,2022-03
RESGATE INDEVIDO (POR TERCEIROS) DOS PONTOS STIX POR TERCEIROS.,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PONTOS']",RESOLVIDO,"No dia 28/07/2022 foram efetuados 2 (dois) resgates de STIX da minha conta (resgates indevidos e feitos por terceiros), um no total de -9383 e outro de -8277, os resgates foram efetuados diretamente no caixa do Pão de Açúcar, loja 2336, loja qual jamais se quer passei perto, tampouco compartilhei meus dados para que outra(s) pessoa(s) os utilizassem. Muito obrigado!",21,2022-03-08,2022,3,2022-03
PONTOS NÃO FORAM UTILIZADOS,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'ESTORNO DO VALOR PAGO', 'PONTOS']",RESPONDIDA,"Entrei hoje na minha conta Stix e verifiquei que 12 mil pontos sumiram da conta. No histórico informa que foi utilizado no pão de açúcar Professor Serafim, sendo que eu NUNCA fui a essa loja. Quero que verifiquem essa transação suspeita, porque não é nada seguro. E desejo meus pontos de volta. ",21,2022-03-08,2022,3,2022-03
SUMIRAM 22025 PONTOS STIX DA MINHA CONTA!!,ARACAJU - SE,SE,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PONTOS']",RESPONDIDA,"Boa noite! Fui checar meu aplicativo do EXTRA para resgatar meus STIX, fiquei assustada ao perceber que tinha levado um [Editado pelo Reclame Aqui] e resgataram 22.025 pontos (!!!) em uma loja do pão de açúcar que nunca fui e nem fica perto do meu estado! E o pior, pelo que percebi muitas outras pessoas levaram esse mesmo [Editado pelo Reclame Aqui] e nada é feito para resolver e devolver os STIX que foram tirados de nós! Um enorme absurdo, se não tomarem providências vou ter que resolver de outro modo. Vamos a justiça abrir um processo contra o EXTRA, o Pão de Açúcar e a marca STIX por vazamento de dados, porque com certeza foi isso que aconteceu, e agora as nossas informações estritamente pessoais estão na mão de marginais [Editado pelo Reclame Aqui] que podem muito bem usar esses dados para [Editado pelo Reclame Aqui]s muito piores!!",21,2022-03-08,2022,3,2022-03
ATENDIMENTO GROSSEIRO EM SUPERMERCADO,RIO DE JANEIRO - RJ,RJ,"['PÃO DE AÇÚCAR', 'MAU ATENDIMENTO']",RESPONDIDA,"Prezados senhores >Hoje, 29 de julho, por volta das 15:45, fui ao super mercado Pão de Açúcar situado à Rua Pompeu Loureiro. Havia comprado, por engano um bom número de garrafas grandes de Coca cola com açúcar. Comentei com um funcionário que me sugeriu falar com a gerente, Solange, se não me engano. >Ela estava próximo às gôndolas, conversando com um entregador. Expliquei o caso. Ela me olhou com cara irritada. Disse que não tinha certeza de poder fazer a troca. E ficou me olhando fixo com expressão ainda irritada. Me fez várias perguntas e pediu a nota fiscal. Disse que não acreditava ter. Continuou com expressão cada vez mais irritada e falando alto e de modo grosseiro. Fui ficando intrigada até que caiu a ficha. Lembrei o que vou relatar. >No dia 24 de dezembro do ano passado  fácil lembrar o dia, não a hora  entrei na fila dos idosos quando vejo um garoto  uns dez anos  na minha frente. Disse que devia usar outra fila. Uma mulher que esperava no corredor em frente aos caixas começou a gritar comigo. Não sei de onde surgiu esta tal gerente Solange que disse, aos gritos, que ele tinha direito de furar a fila de idosos porque só tinha um item. >Discordei e disse que não passaria na minha frente. Aos berros - deve sofrer de histeria  gritou chamando a polícia e dizendo que seria presa. Desculpem, mas tive que rir. O Fim da história não é relevante mas o tal menino não passou na minha frente. >Porque ela se lembrou de mim e eu custei a me lembrar dela? Simples: tenho 76 anos, um metro e setenta e sete, sem um único quilo a mais. Ou seja, uma figurinha fácil de memorizar.Agora fica a pergunta: qual deve ser a atitude do empresário mediante tal comportamento repetitivo?AtenciosamenteVera Franco",21,2022-03-08,2022,3,2022-03
DESCONTO NÃO APLICADO,RIBEIRÃO PRETO - SP,SP,"['DIVERGÊNCIA DE VALORES', 'PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'PAGAMENTOS E DOCUMENTOS']",RESPONDIDA,"Compra realizada em 02/08 via APP, cupom fiscal 00136907, não foi aplicado o desconto de 20% do cartão pão de açúcar nos itens 1, 3 e 6.",21,2022-03-08,2022,3,2022-03
COMPREI NA PROMOÇÃO LEVE 3 PAGUE 1 E A CAIXA ESQUECEU DE PASSAR A 3 EMBALAGEM PARA DAR O DESCONTO DE 2,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'ESTORNO DO VALOR PAGO']",NÃO RESOLVIDO,"Boa tarde,Hoje era o último dia da Promoção dos Bolos de Caneca da Dr. Oetker no App (Leve 3, Pague 1), por isso passei no Pão de Acúcar (que não é perto da minha casa) para comprar 3 embalagens deste bolo para aproveitar a promoção do App e mais a promoção da dr Oetker (Compre 3 e ganhe 1 ingresso para o cinema no valor de R$ 24,00). Comprei 3 e a operadora do caixa só passou 2 (era para ter passado 3 para dar o desconto das 2 unidades e para também participar da promoção da Dr. Oetker). Por isso, paguei R$ 8,70 em vez de R$ 4,35 e ainda não vou poder participar da promoção da dr. Oetker. Incompetência. Segue a foto das 3 unidades que comprei e os prints da nota incorreta feita no Caixa e da promoção no App. Por favor, me enviem a nota correta com as 3 unidades que comprei para eu participar da promoção da dr. Oetker e também o estorno de R$ 4,35 (já que a promoção do app que acaba hoje é leve 3, pague 1).",21,2022-03-08,2022,3,2022-03
[EDITADO PELO RECLAME AQUI] NA ENTREGA,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",RESOLVIDO,"Fiz uma compra no dia 02/08/2022 as 22h46 (Pedido 9607316) de 24 cervejas Baden Baden Cristal de 350 ML. Foi enviado 12 garrafas de água de 1.5L da marca Crystal.Não consigo contato pelos canais de atendimento fornecido na nota fiscal, não fui atendindo em nenhum momento.Como podem um erro tão grotesco quanto esses? Não consegue nem bater o pedido?",21,2022-03-08,2022,3,2022-03
NEGATIVAÇÃO INDEVIDA NO SERASA,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'COBRANÇA INDEVIDA', 'CONSULTORIAS']",NÃO RESOLVIDO,"Estou negativado no SERASA por conta de um contrato (8090577867001) de 2001 com o Pão de Açúcar que desconheço totalmente. Como não há nenhuma informação sobre o tal contrato no SERASA, ou mesmo nas empresas de cobrança que estão diariamente me ligando (2 a 3X por dia). Como não há canais de comunicação com o financeiro do Pão de Açúcar listados na internet e como nenhum atendente das empresas de cobrança soube me informar o objeto do contrato. Não vou realizar nenhum pagamento. Estou tentando por aqui antes de levar para o advogado.",21,2022-03-08,2022,3,2022-03
UTILIZAÇÃO DE PONTOS STIX POR TERCEIRO,GOIÂNIA - GO,GO,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS']",RESOLVIDO,"Tenho acumulado meus pontos Stix e, para minha surpresa, novamente feita troca no meu CPF indevidamente, agora em uma loja Pão de Açúcar.Aberto protocolo de reclamação e, passado o prazo de resposta, sem nenhuma satisfação da empresa.Os pontos foram resgatados em 09/07/2022 em uma cidade que nem é a minha. Impressionada com o descaso das empresas, principalmente em um momento em que vivemos sob a égide da Lei de Proteção de Dados. Como é possível que alguém faça resgates em meu nome, sem a apresentação de qualquer documento pessoal?Espero que o problema seja resolvido e que não volte acontecer, pois caso contrário medidas deverão ser tomadas pela falta de cuidado da empresa na conferência e uso de documentos de terceiros.",21,2022-03-08,2022,3,2022-03
TROCA DE VALE COMPRAS SEM HABILITAÇÃO PARA UTILIZAÇÃO.,SÃO PAULO - SP,SP,"['TROCA-DEVOLUÇÃO DE PRODUTO', 'PÃO DE AÇÚCAR', 'CANAIS DE ATENDIMENTO', 'PROBLEMAS COM O ATENDIMENTO']",RESPONDIDA,"No dia 16 de julho o app estava com instabilidade, informado pelo atendente, por conta disto SEM QUERER, realizei o resgate de 6 cupons de R$ 120,00 (12 mil pontos cada um)Utilizei somente um cupom no mesmo dia, os outros 5 ficaram no status de resgatado mas sem poder utilizar, TRAVADO, mesmo na loja não aparecia o cupom. Já foram abertos 5 protocolos e sem resolução, o mínimo que espero é a devolução dos pontos referentes a 5 cupons (60 mil pontos no total)  E agora p piorar devolveram 12 mil pontos referente a um dos cupons e um simplesmente sumiu, constam apenas 3 cupons em meu app e sem poder utilizar. NÃO AGUENTO MAIS CONTAR ESTA HISTORIA AOS ATENDENTES.",21,2022-03-08,2022,3,2022-03
PÃO DE AÇÚCAR ENTREGA PRODUTOS ERRADOS!!!!,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'HIPERMERCADOS', 'ENTREGA FALTANDO ITENS']",RESPONDIDA,"Fiz uma compra online no pão de açúcar dia 02/08/2022 solicitando entrega expressa que aconteceria dia 03/08/2022.A entrega chegou conforme estipulado pelo site, porém TODOS OS ITENS ESTÃO ERRADOS!!!!Entrei em contato com o SAC e deram 72h para a resolução do produto!!!E agora? Fico com prejuízo do pedido e do frete? Muito descaso com consumidor!!!!!",21,2022-03-08,2022,3,2022-03
DEMORA/FILA PRA RETIRADA DE COMPRA ONLINE,JUNDIAÍ - SP,SP,"['ATRASO NA ENTREGA', 'SUPERMERCADOS', 'PÃO DE AÇÚCAR']",NÃO RESOLVIDO,"Comprei pelo site e agendam horário de entrega, porém não têm capacidade de entrega.. Fila enorme na unidade de Jundiaí nessa quarta-feira 03/08. Se colocam Agendamento porque não conseguem atender o combinado? Já tentei retirar antes e não deixaram, mas o atraso é admissível pro consumidor? Muito desrespeito com os clientes que compraram pelo site na modalidade retirada ",21,2022-03-08,2022,3,2022-03
PRODUTO ESTRAGADO,BAURU - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PRODUTOS ESTRAGADOS']",RESPONDIDA,"Ontem, 02/08/2022 aproximadamente as 20:00, fui ao PAo de acucar, na cidade de Ourinhos, SP, Onde adquiri um produto ( Alfajor Limao siciliano - Sonho do cacau). Ao pegar estrada para voltar apara minha cidade, Bernardino de campos, comi duas unidades do mesmo. Não passei bem durante a noite, indo varias vezes ao banheiro. Hoje, dia 03/08/2022 ao analisar os alfajores restantes, notei que TODOS estavam embolorados, sendo o causador do meu mal estar. Devemos lembrar da lei 8.078/1990, do Codigo de Defesa do Consumidor, onde diz que, o fornecimento de produto impróprio para o consumo gera para o fornecedor o dever de reparar o dano causado, tanto ao dano material, quanto ao dano moral.Att., Andre ",21,2022-03-08,2022,3,2022-03
EXPERIÊNCIA PÉSSIMA EM PÃO DE AÇÚCAR MAL IMPLEMENTADO,SÃO CARLOS - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMAS COM O ATENDIMENTO', 'MAU ATENDIMENTO']",RESPONDIDA,"Se colocam que a pizzaria fecha às 21h, deve fechar às 21h.Além da pizza ser cara (de 45 a 50 reais), ainda os funcionários abandonam o local antes.Clique e retire ainda não funciona. Quanto tempo vão demorar para implementar? Atendimento lerdo em alguns caixas e caixas de autoatendimento com espaço apertado, em que os próprios funcionários atrapalham.Pra quem conhece o Pão de Açúcar de outros lugares sabe que a unidade de São Carlos oferece uma experiência muito abaixo.",21,2022-03-08,2022,3,2022-03
CARTÃO PÃO DE AÇUCAR LIMITE ESTOURADO,BRASÍLIA - DF,DF,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS']",NÃO RESOLVIDO,"A meses sempre pagando em dia e o limite não esta me atendendo. Solicito ao menos 50% de aumento no valor do meu limite, mas pode dobrar, como veem no historico todo mes ultrapasso e preciso deste aumento no limite. Pago sempre em dias e tenho como cumprir. Solicito este aumento nem que tenha que tirar de outros cartoes itau q temos o limite e passar para este. O cartão em questão é o PDA. Já tentei junto a itaucard e falam q é cartao pao de acucar e tal, vejam e resolvam por gentileza. ",21,2022-03-08,2022,3,2022-03
CANCELAMENTO PEDIDO,CERES - GO,GO,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'ESTORNO DO VALOR PAGO']",RESOLVIDO,Gostaria de solicitar o cancelamento do pedido  Envio n 26883983 e estorno do valor na mesma forma de pagamento,21,2022-03-08,2022,3,2022-03
PEDIDO ATRASADO,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",EM RÉPLICA,"Fiz um pedido no pão de açúcar na modalidade express (entrega no mesmo dia) no dia 29/07. Pedido número 28433450, loja do Jabaquara.Já liguei diversas vezes para saber do ocorrido e sempre me passam informações desencontradas até mesmo que não foi realizado o pagamento, sendo q recebi e-mail e etc de pagamento aprovado e consta na fatura do cartão.Estou há dias esperando o pedido, preciso recebê-lo.",21,2022-03-08,2022,3,2022-03
COBRANÇA DE FRETE EM COMPRA ONLINE COM CARTÃO PDA,SÃO JOSÉ DOS CAMPOS - SP,SP,"['CARTÃO DE CRÉDITO', 'CARTÕES DE CRÉDITO', 'COBRANÇA INDEVIDA', 'PÃO DE AÇÚCAR']",RESOLVIDO,"Fiz uma compra com valor acima de R$150,00 e efetuei o pagamento com o catão Itaucard Pão de Açucar. O frete deveria ser gratís, porém houve cobrança conforme visto na pág. 2 do meu pedido em anexo.Solicito devolução do valor.",21,2022-03-08,2022,3,2022-03
ATRASO NA ENTREGA,SÃO CAETANO DO SUL - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMAS COM O ATENDIMENTO', 'PROBLEMA COM ENTREGA DE PRODUTO-COMPRAS']",RESOLVIDO,"Efetuei compra no Pão de Açúcar dia 31_julho,  através do site, pedido 29033984, e entrega programa para ser efetuada dia 2-agosto entre 10:00 as 16:00 hrs.Como a entrega não foi efetuada no horário, efetuei ligação para a Casa do Cliente Pão de Açúcar as 16:47 hrs, reclamando do atraso,Informaram que iriam entrar em contato, o que de fato não ocorreu.As 17:50 hrs, como o pedido não havia chegado e o condomínio não permite entregas a partis das 17:30 hrs, informei que deveria fazer entrega no próximo dia com horário marcado paras as 11:00 hrs, o que logicamente também não ocorreu.Ligou hoje dia 03_agosto as 11:46 hrs, e fui informado que teriam 72 hrs para fazerem a entrega, o que me indignou em virtude do erro ser do PA e não por ausência de alguém para receber.Solicitei o cancelamento e informaram que pode demora até duas faturas para o valor ser estornado.Recomendo que não efetuem compra neste mercado através do site, porque não a primeira vez que tenho problema da ineficiência e falta de atenção com os clientes. Na vez anterior faltaram produtos, fiz 17 ligações e não resolveram, e após reclamação através deste site e que se prestaram a entregar os produtos faltantes.Sergio",21,2022-03-08,2022,3,2022-03
"CARTÃO DE CRÉDITO DO PRÓPRIO PÃO DE AÇÚCAR, FRETE GRÁTIS, DESCONTO DE 20% NAS MARCAS PRÓPRIAS, NADA CUMPRIDO, PERIGO CONSTANTE, PREJUÍZOS NA CERTA, FIQUE MUITO ALERTA",SÃO PAULO - SP,SP,"['VALOR DE FRETE', 'PÃO DE AÇÚCAR', 'SUPERMERCADOS']",EM RÉPLICA,"Encareço a ajuda do RECLAME AQUI para obter o ressarcimento de 3 prejuízos que me causou o supermercado Pão de Açúcar relativamente aos benefícios para pagamento com o Cartão de Crédito Itaucard Pão de Açúcar, que é o frete grátis. 1. Em 02-08-2022 recebi uma compra que fizera online no Pão de Açúcar (DANFE 2974583). Foi indevidamente cobrado o frete de R$ 14,90. 2. Em 25-07-2022 recebi outra compra online que fizera no Pão de Açúcar (DANFE 2962979). Foi indevidamente cobrado o frete de R$ 14,90. 3. Em 22-08-2022 recebi outra compra online que fizera no Pão de Açúcar (DANFE 3004359). Foi indevidamente cobrado o frete de R$ 14,90.Quantos prejuízos! Infelizmente muitos caem no esquema e nem se dão conta. A afronta é constante ao Código de Defesa do Consumidor. Fique muito alerta com o Pão de Açúcar, você que lê esta reclamação! Mas duvido que lá na França, sede do Grupo Cassino, a população seja trapaceada desse jeit",14,2022-03-09,2022,3,2022-03
PANELA WOK NUNCA ESTÁ DISPONÍVEL,OSASCO - SP,SP,"['PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'PRODUTO INDISPONÍVEL', 'PROPAGANDA ENGANOSA']",RESPONDIDA,"Há cerca de 1 ano venho juntando pontos pra trocar pela panela ou frigideira Jamie Oliver, mas é simplesmente impossível pq nunca tem em estoque nas lojas. Os telefones nunca chamam, dão como inexistentes. É a tremenda falta de respeito ofertar um produto em programa de fidelidade e não cumprir a oferta! Já liguei em SAC do stix, do pão de açúcar e nunca é resolvido. Solicito solução!",14,2022-03-09,2022,3,2022-03
[EDITADO PELO RECLAME AQUI] DE PONTOS STIX POR FALTA DE CONFERÊNCIA NO CAIXA,SÃO PAULO - SP,SP,"['PÃO DE AÇÚCAR', 'NÃO ENCONTREI MEU PROBLEMA', 'HIPERMERCADOS', 'ROUBO-FURTO']",RESPONDIDA,"No dia 28 de junho deste ano, alguém usou quase 40.000 pontos do meu programa Stix para compras em uma loja física do Pao de Açúcar na Rua Padre Antonio, Brooklin. Quando você passa no caixa de uma loja física, vc precisa apenas dar um número de CPF se quiser usar seus pontos para desconto no valor da compra, não é necessário mostrar nenhum documento comprovando que é você. E ontem, dia 2 de setembro, pegaram um vale compras no Extra no valor de 100 reais que também não fui eu..",14,2022-03-09,2022,3,2022-03
PROMOÇÃO STIX IMPOSSÍVEL DE JUNTAR PONTOS,JUNDIAÍ - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'PROPAGANDA ENGANOSA', 'PONTOS']",EM RÉPLICA,"Todos os meses eu completei a minha missão stix no pão de açúcar e ganhei os pontos adicionais. Só que esse mês a missão veio com um valor abusivo de mais de 1500 reais em compras.Ridículo, era melhor não fazer promoção nenhuma.",14,2022-03-09,2022,3,2022-03
PONTOS STIX,SÃO PAULO - SP,SP,"['CLUBES DE COMPRAS E VANTAGENS', 'PÃO DE AÇÚCAR', 'DIVERGÊNCIA DE VALORES', 'PONTOS']",RESPONDIDA,"Pela segunda vez, meus pontos stix estao sendo subtraídos da minha conta indevidamente. Constam 2 vales compras do extra não solicitados por mim, em 3 de setembro.Exijo providências de reintegração dos pontos e de uso seguro da conta. ",14,2022-03-09,2022,3,2022-03
SEM ACESSO A CONTA.. APP INCOMPATIVEL,SÃO PAULO - SP,SP,"['SUPERMERCADOS', 'NÃO ENCONTREI MEU PROBLEMA', 'PÃO DE AÇÚCAR']",RESPONDIDA,"Prezados, não consigo resetar minha senha, não recebo o email de recuperação. Não tenho como usar o APP de vocês, pois é incompatível com meu celular. Como resolvemos? Se preferirem deletem meu cadastro que eu registro novamente. Obrigado.",14,2022-03-09,2022,3,2022-03
PROPAGANDA ENGANOSA,GUARULHOS - SP,SP,"['PROPAGADA ENGANOSA', 'SUPERMERCADOS', 'PÃO DE AÇÚCAR']",NÃO RESPONDIDA,"Fui ao mercado dia 02/09 e ao realizar a compra de vinho casal garcia, que estava bem especificado na foto que ao comprar 4 pagava apenas 2, fui informada no caixa que q promoção era apenas através do APP, mas na foto de divulgação não estava com essa especificação! Acabei comprando apenas 1 vinho por o preço original! Uma propaganda enganosa! Devem deixar muito claro essa exceções! Se é apenas no APP deve ser informado no cartaz!",14,2022-03-09,2022,3,2022-03
PRODUTOS FALTANDO NA COMPRA,CAMPINAS - SP,SP,"['PÃO DE AÇÚCAR', 'SUPERMERCADOS', 'PROBLEMAS COM O ATENDIMENTO', 'ENTREGA FALTANDO ITENS']",NÃO RESPONDIDA,"Há anos efetuo compras no Pão de Açúcar SEMANALMENTE (as vezes mais de uma vez na semana) pelo app do Pão de Açúcar. Em várias ocasiões recebi minhas compras faltando produtos ou as vezes caixas ou sacolas inteiras que não foram entregues. Em contrapartida, já recebi também embalagens de outros clientes ou produtos a mais em minhas compras e, em TODOS ESTES CASOS, eu sempre retornei ao supermercado devolver seja a embalagem de outro cliente ou o produto que veio a mais em minha compra, afinal, se não comprei e não paguei, o produto não me pertence. Sempre foi assim nos últimos anos.Nesta última compra, no entanto, veio faltando uma sacola inteira da parte da padaria (pão e bolo), que não constava na lista de embalagens a serem entregues, que é assinada pelo cliente, ou seja, o sistema não havia incluído esta embalagem como item a ser entregue. Além desta embalagem, comprei 2kg de sassami de frango que constam no meu pedido, constam como entregues no site do Pão de Açúcar e que foram cobrados e pagos por mim por cartão de crédito. Ao averiguar a falta dos produtos, entrei em contato com o WhatsApp da unidade Av. Itapura, como já havia feito diversas outras vezes, e expliquei para Eduarda e Marcela o que havia ocorrido. Enviei os prints da fatura do meu cartão de crédito com o valor total da compra, que bate com o pedido, e o print do pedido na versão do app e também do site, provando que os produtos estavam na compra quando fechei e paguei pelo pedido. Expus todas estas informações pelo WhatsApp às colaboradoras do e-commerce e minhas últimas mensagens foram completamente ignoradas. No final do ano passado, às vésperas do Reveillón, uma colaboradora de vocês estava nitidamente frustrada de ter que trabalhar neste período do ano, o que eu acabei ouvindo ela comentando com outra colaboradora enquanto passava minhas compras no auto-atendimento. Um dos produtos que passei estava com valor divergente e eu a chamei para verificar. Ela cancelou o item da compra demonstrando estar totalmente contrariada de ter que fazer aquele cancelamento e ainda me deu uma ombrada ao terminar o atendimento. Abri uma reclamação no site do Pão de Açúcar, em que uma atendente me ligou se desculpando e dizendo que o gerente da unidade entraria em contato para apurar o caso. Até hoje estou esperando o retorno da gerência do supermercado. Como foi um ato pontual achei melhor não escalar o que houve, mas agora percebo que na verdade o Pão de Açúcar usa frases e slogan de efeito, mas estão pouco se lixando para os seus clientes, ainda que eles sejam habitués, frequentes. Estou extremamente decepcionado com o Pão de Açúcar, que oferece uma experiência péssima aos seus clientes, demonstrando total desrespeito e pouco caso. O Pão de Açúcar já foi bom, hoje, apenas lamento por não poder mais contar com a qualidade que a rede tinha. Perderam um cliente ""fiel"".",14,2022-03-09,2022,3,2022-03
